Reputation,LuFid,EinheitlicheID,BundeslandID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,Ost,Nach1945,FoerderungPhase1
0,52,58,141,0,1,1,0,,,0,0,0,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,54,58,141,0,0,,0,,165.66667,.16566667,.0099999998,.003,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,56,58,141,0,20.2,51.400002,.7505476586505706,5.284367744656279,3094.8,3.2026,.0092000002,.0022,1,2.764035253880103,West Germany (U),Founded after 1945 (U),0
0,56,58,141,0,20.6,67.800003,.8756465654276647,4.916047559366845,2323.3999,2.4033999,.044199999,.0086000003,2,4.796113430756249,West Germany (U),Founded after 1945 (U),0
0,6,59,135,0,16.4,49.400002,.4328318978764347,4.791191493714109,684.59998,.6846,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,6,59,135,0,17.4,59.799999,1.212126845645366,4.439700267430553,728.79999,.7288,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,8,59,135,0,14,53,1.142629996161005,4.266429609451387,369.20001,.36920002,0,.00020000001,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,8,59,135,0,7.8,34,1.128958012547778,2.432695582553116,276.60001,.2766,.0016000001,.00080000004,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,10,59,135,0,1,0,.0070235731999192,.0484229205212414,,0,.00025000001,.00075000001,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,11,59,135,0,0,,0,.0011364164653789,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,11,59,135,0,0,,0,.0010304259633593,,0,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,13,59,135,0,2.4,9.8000002,.3530688427525321,.6371042303246267,,0,.038200002,.0040000002,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,13,59,135,0,1.6,9.6000004,.3325478992520866,.5046128749049149,,0,.1234,.0054000001,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,15,59,135,0,9.6,29.6,.0942870468381947,1.717447401866702,596.79999,.59679997,.0148,.0020000001,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,15,59,135,0,10.4,40.599998,.8876572113867602,1.942787529959156,486.60001,.48660001,.026000001,.0024000001,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,17,59,135,0,0,,0,.2706150860065354,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,18,59,135,0,0,,0,.0008042596347873,,0,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,23,59,135,0,0,,0,.0270285019653545,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,23,59,135,0,1,1.3333334,0,.1551044624551469,,0,.00033333333,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,25,59,135,0,9.199999999999999,28.4,.4809957314284107,2.545859579674149,387.79999,.38779998,.022,.0034,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,25,59,135,0,11,35.400002,.8756958101425549,2.776412128898777,202,.20200001,.031600002,.0040000002,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,26,59,135,0,20.2,113.4,5.970127917171926,8.044247006414942,32.666668,.032666668,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,26,59,135,0,22.8,111.6,4.80553802944245,6.957332255028356,25.200001,.0252,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,28,59,135,0,0,.25,0,.0371427230753611,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,28,59,135,0,.4,0,0,.075055373636872,,0,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,29,59,135,0,1,1,0,,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,29,59,135,0,1,1.8,.0357149852988464,.0049448971584271,,0,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,30,59,135,0,1,0,0,.0308531024106203,,0,0,0,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
0,30,59,135,0,0,,0,0,,0,0,0,2,2.865518231705678,East Germany (U),Founded after 1945 (U),0
0,31,59,135,0,11.6,55.599998,4.011278542471919,4.769604967734014,235.8,.2358,.063000001,.016799999,1,2.011587528085318,East Germany (U),Founded after 1945 (U),0
